productName,price,rating,moisturizing,soothing,visiblepores,skinconcern_total,sensitive,uva3,uva4,mineral,nowhitecast,synthetic,formula_total,spf30,spf50,link
[Duo Set] numbuzin No. 1 Pure-full Calming Water Sunscreen SPF50 PA++++ 50mL + 50mL Duo Set,USD 26.00,4.8,1,1,0,2,0,0,1,0,1,0,1,0,1,https://global.oliveyoung.com/product/detail?prdtNo=GA230518528
[Duo Set] numbuzin No. 3 Porcelain Base-skip Tone Up Beige SPF50+ PA++++ 35mL + 35mL Duo Set,USD 26.00,4.6,0,1,1,2,0,0,1,1,0,0,1,0,1,https://global.oliveyoung.com/product/detail?prdtNo=GA230518530
Dr.G Green Mild Up Sun+ 50mL,USD 0.99,4.7,0,0,0,0,0,0,0,0,0,0,0,0,0,https://global.oliveyoung.com/product/detail?prdtNo=GA230217721
Abib Airy Sunstick Smoothing Bar SPF50+,USD 37.00,4.7,0,1,0,1,0,0,1,0,1,0,1,0,1,https://global.oliveyoung.com/product/detail?prdtNo=GA230719483
Abib Heartleaf Sun Essence Calming Drop 50mL,USD 33.00,4.3,0,1,0,1,0,0,1,0,1,0,1,0,1,https://global.oliveyoung.com/product/detail?prdtNo=GA230418136
rom&nd Back Me Tone Up Sun Cushion,USD 24.00,4.5,0,0,0,0,0,0,1,1,0,0,1,0,1,https://global.oliveyoung.com/product/detail?prdtNo=GA230418352
Cell Fusion C Laser Sun Screen 100 35mL 1+1 Special Set (+Dark Spot Serum 20mL+ Pore Sun Cleansing Foam 30mL),USD 39.00,4.3,0,0,0,0,1,1,0,0,0,1,1,0,1,https://global.oliveyoung.com/product/detail?prdtNo=GA220414210
asis-tobe Green Tea Moisture Sun Block 50mL,USD 32.00,5,0,1,0,1,1,0,1,0,1,0,1,0,1,https://global.oliveyoung.com/product/detail?prdtNo=GA230619128
asis-tobe Pure Mineral Sun Cream 50mL,USD 32.00,4.8,0,1,0,1,0,0,1,1,0,0,1,0,1,https://global.oliveyoung.com/product/detail?prdtNo=GA230619126
ATRUE Origin Safe Mild Sunblock,USD 28.00,,0,1,0,1,1,0,1,1,0,0,1,0,1,https://global.oliveyoung.com/product/detail?prdtNo=GA230619403
AXIS-Y Complete No-Stress Physical Sunscreen 50mL,USD 23.00,4.3,1,1,0,2,0,0,1,1,0,0,1,0,1,https://global.oliveyoung.com/product/detail?prdtNo=GA230518757
Beauty of Joseon Ginseng Moist Sun Serum 50mL,USD 24.00,4.5,1,0,0,1,0,0,1,0,1,0,1,0,1,https://global.oliveyoung.com/product/detail?prdtNo=GA230518751
Beauty of Joseon Matte sun stick : Mugwort + Camelia 18g,USD 24.00,4.6,0,0,0,0,0,0,1,0,1,0,1,0,1,https://global.oliveyoung.com/product/detail?prdtNo=GA230117319
Beauty of Joseon Relief Sun : Rice + Probiotics 50mL,USD 24.00,4.8,1,0,0,1,0,0,1,0,1,0,1,0,1,https://global.oliveyoung.com/product/detail?prdtNo=GA220816046
Beauty of Joseon Relief Sun: Rice + Probiotics (SPF50+ PA++++) Double Pack 50mL*2ea,USD 33.00,4.9,1,0,0,1,0,0,1,0,1,0,1,0,1,https://global.oliveyoung.com/product/detail?prdtNo=GA220615265
belif Happy Bo Mild Sunscreen 50mL,USD 44.00,5,0,1,0,1,0,0,1,0,0,1,1,0,1,https://global.oliveyoung.com/product/detail?prdtNo=GA230518549
belif UV Protector Tone-up Sunscreen 50mL LINE FRIENDS Eco Edition (+Stickers),USD 43.00,,0,1,0,1,0,0,1,0,0,1,1,0,1,https://global.oliveyoung.com/product/detail?prdtNo=GA230619115
BIODANCE Skin Barrier Sun Safe 30mL,USD 29.00,4,0,0,0,0,0,0,1,1,0,0,1,0,1,https://global.oliveyoung.com/product/detail?prdtNo=GA230619396
BIOHEAL BOH Panthenol Cica Blemish Sun Cream 1+1 Special Set (+20mL),USD 36.00,4.6,0,1,0,1,1,0,1,0,0,1,1,0,1,https://global.oliveyoung.com/product/detail?prdtNo=GA230418212
BIOHEAL BOH Probioderm Collagen Essence Sun Cream 50mL,USD 40.00,,0,0,0,0,0,0,0,0,0,0,0,0,0,https://global.oliveyoung.com/product/detail?prdtNo=GA240121920
BIOHEAL BOH Probioderm Collagen Tone Up Sun Cream 50mL,USD 40.00,,0,0,0,0,0,0,0,0,0,0,0,0,0,https://global.oliveyoung.com/product/detail?prdtNo=GA240121921
BLIVU Collagen Bouncing Sun Stick 19g,USD 46.00,4.7,0,0,0,0,0,0,1,0,1,0,1,0,1,https://global.oliveyoung.com/product/detail?prdtNo=GA230819949
Color Labs 100X White Tanning Ampoule 30mL,USD 42.00,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,https://global.oliveyoung.com/product/detail?prdtNo=GA230518557
COSRX Aloe Soothing Sun Cream SPF50+,USD 17.00,4.7,0,0,0,0,0,0,0,0,0,0,0,0,1,https://global.oliveyoung.com/product/detail?prdtNo=GA210000531
Cure Real:oe Soothing Gel 150mL,USD 13.00,,0,0,0,0,0,0,0,0,0,0,0,0,0,https://global.oliveyoung.com/product/detail?prdtNo=GA230920340
Cure Realoe Water Splash Calming Tone Up 40g,USD 33.00,,1,1,0,2,0,0,1,0,0,1,1,0,1,https://global.oliveyoung.com/product/detail?prdtNo=GA230820017
Cure Water Splash Cooling Sun Stick 23g,USD 21.00,4.6,1,1,0,2,1,0,1,0,1,0,1,0,1,https://global.oliveyoung.com/product/detail?prdtNo=GA220313930
D'Alba Air Fit Fresh Sun Stick 19g,USD 48.00,5,0,1,0,1,0,0,1,0,1,0,1,0,1,https://global.oliveyoung.com/product/detail?prdtNo=GA230518538
d'Alba Waterful Fresh Sun Cushion 25g,USD 55.00,,1,1,0,2,0,0,1,0,0,1,1,0,1,https://global.oliveyoung.com/product/detail?prdtNo=GA230518537
d'Alba Waterful Tone Up Sun Cream Purple 50mL,USD 45.00,5,0,0,0,0,0,0,1,0,0,1,1,0,1,https://global.oliveyoung.com/product/detail?prdtNo=GA240121611
d'Alba Waterful Tone Up Sun Cushion 15g,USD 55.00,4.6,0,0,0,0,0,0,1,0,0,1,1,0,1,https://global.oliveyoung.com/product/detail?prdtNo=GA230518535
d'Alba Waterfull Mild Sun Cream Duo 50mL + 50mL,USD 67.00,5,1,1,0,2,1,0,1,1,0,0,1,0,1,https://global.oliveyoung.com/product/detail?prdtNo=GA230217714
d'Alba White Truffle Repair Sun Serum 35mL,USD 42.00,4,1,1,0,2,0,0,1,0,1,0,1,0,1,https://global.oliveyoung.com/product/detail?prdtNo=GA230518536
Dr.G Brightening Up Moisture Sun 50mL,USD 35.00,4.3,0,0,0,0,0,0,1,1,0,0,1,0,1,https://global.oliveyoung.com/product/detail?prdtNo=GA230217722
Dr.G Brightening Up Sun+ Special Set (50mL + 20mL),USD 35.00,4.7,0,0,0,0,1,1,0,0,0,1,1,0,1,https://global.oliveyoung.com/product/detail?prdtNo=GA230217717
Dr.G Green Mild Up Sun Stick 20g,USD 26.00,4.3,0,1,0,1,1,0,1,1,0,0,1,0,1,https://global.oliveyoung.com/product/detail?prdtNo=GA210610742
Dr.G Green Mild Up Sun+ Special Set (50mL + 20mL),USD 32.00,4.7,0,1,0,1,1,0,1,1,0,0,1,0,1,https://global.oliveyoung.com/product/detail?prdtNo=GA230217716
espoir Water Splash Sun Cream Ceramide 60mL + 20mL Special Set,USD 24.00,4.7,0,0,0,0,0,0,1,0,0,1,1,0,1,https://global.oliveyoung.com/product/detail?prdtNo=GA230117432
espoir Water Splash Sun Cream Fresh CICA 60mL SPF50+ PA++++,USD 29.00,4.4,1,1,0,2,0,0,1,0,1,0,1,0,1,https://global.oliveyoung.com/product/detail?prdtNo=GA230418125
FRUDIA Ultra UV Shield Sun Essence 50g,USD 18.00,5,1,0,0,1,0,0,1,0,0,1,1,0,1,https://global.oliveyoung.com/product/detail?prdtNo=GA230820025
FRUDIA What's Wrong? Help Cicaderm Sun Cream 50g,USD 21.00,,0,1,0,1,0,0,1,0,0,1,1,0,1,https://global.oliveyoung.com/product/detail?prdtNo=GA230820024
goodal Heartleaf Calming Moisture Sun Cream 50mL 1+1 Special Set,USD 27.00,,1,1,0,2,1,0,1,0,1,0,1,0,1,https://global.oliveyoung.com/product/detail?prdtNo=GA220615121
goodal Heartleaf Calming Tone Up Sun Cream 50mL 1+1 Special Set,USD 29.00,,0,0,0,0,0,0,0,0,0,0,0,0,0,https://global.oliveyoung.com/product/detail?prdtNo=GA240121908
Green Finger Forest Multi Defense Sun Cushion 13g Choose Between Original Product and Refill,USD 40.00,,1,0,0,1,1,0,1,0,0,1,1,0,1,https://global.oliveyoung.com/product/detail?prdtNo=GA230619100
Haruharu wonder Black Rice Moisture Airy Fit Daily Sunscreen 50mL,USD 24.00,4.8,1,1,0,2,0,0,1,0,1,0,1,0,1,https://global.oliveyoung.com/product/detail?prdtNo=GA230619154
Haruharu wonder Black Rice Moisture Airyfit Daily Sunscreen Duo,USD 47.00,4.7,1,1,0,2,0,0,1,0,1,0,1,0,1,https://global.oliveyoung.com/product/detail?prdtNo=GA230920574
Haruharu wonder Black Rice Pure Mineral Relief Daily Sunscreen 50mL,USD 24.00,4.6,0,1,0,1,1,0,1,1,0,0,1,0,1,https://global.oliveyoung.com/product/detail?prdtNo=GA230619156
Haruharu wonder Black Rice Pure Mineral Relief Daily Sunscreen Duo,USD 47.00,4.8,0,1,0,1,0,0,1,1,0,0,1,0,1,https://global.oliveyoung.com/product/detail?prdtNo=GA230920573
INNISFREE Hyaluron Moist Sunscreen SPF50+ PA++++ 50mL,USD 35.00,,1,1,0,2,0,0,1,0,1,0,1,0,1,https://global.oliveyoung.com/product/detail?prdtNo=GA230820000
INNISFREE UV Active Poreless Sun Screen 50mL,USD 35.00,4.6,0,0,1,1,0,0,1,1,0,0,1,0,1,https://global.oliveyoung.com/product/detail?prdtNo=GA230518755
Isntree Hyaluronic Acid Airy Sun Stick 22g,USD 31.00,4.7,1,1,0,2,0,0,1,0,1,0,1,0,1,https://global.oliveyoung.com/product/detail?prdtNo=GA220815814
Isntree Hyaluronic Acid Watery Sun Gel 50mL,USD 26.00,4.8,1,0,0,1,0,0,1,0,1,0,1,0,1,https://global.oliveyoung.com/product/detail?prdtNo=GA220815815
Isntree Hyaluronic Acid Watery Sun Gel Double Set (50mL+50mL),USD 39.10,4.9,0,0,0,0,0,0,0,0,0,0,0,0,0,https://global.oliveyoung.com/product/detail?prdtNo=GA230920295
Isntree Onion Newpair Sunscreen 50mL,USD 22.20,4.3,0,0,0,0,0,0,0,0,0,0,0,0,0,https://global.oliveyoung.com/product/detail?prdtNo=GA230920296
Isntree Yam Root Milk Tone Up Sun Cream 50mL,USD 26.50,4.1,0,0,0,0,0,0,0,0,0,0,0,0,0,https://global.oliveyoung.com/product/detail?prdtNo=GA230920256
JAYJUN It Began Tansy Sunscreen SPF50+ PA++++,USD 24.00,4.5,1,1,0,2,0,0,1,1,0,0,1,0,1,https://global.oliveyoung.com/product/detail?prdtNo=GA230418255
JAYJUN Okra Phyto Mucin Tone-Up Suncream 100mL,USD 33.00,4.7,0,1,0,1,0,0,1,0,0,1,1,0,1,https://global.oliveyoung.com/product/detail?prdtNo=GA230418256
JUNGSAEMMOOL Masterclass Ampoule Sun 50mL,USD 37.00,4.4,0,0,0,0,0,0,1,0,1,0,1,0,1,https://global.oliveyoung.com/product/detail?prdtNo=GA231020645
JUNGSAEMMOOL Masterclass Ampoule Sun 50mL,USD 37.00,5,0,0,0,0,0,0,1,0,1,0,1,0,1,https://global.oliveyoung.com/product/detail?prdtNo=GA231020773
JUNGSAEMMOOL Mild Sun Stick 17g,USD 29.00,,0,1,0,1,0,0,1,1,0,0,1,0,1,https://global.oliveyoung.com/product/detail?prdtNo=GA230518556
LABIOTTE Skin Enhancer Collagen Tone Up Cream 40mL,USD 42.00,,0,0,0,0,0,1,0,0,0,1,1,0,1,https://global.oliveyoung.com/product/detail?prdtNo=GA220615190
Mary&May Vegan Peptide Bakuchiol Sun Stick SPF50+ PA++++ 18g,USD 30.00,4.8,0,0,0,0,0,0,0,0,0,0,0,0,0,https://global.oliveyoung.com/product/detail?prdtNo=GA231221387
MEDIHEAL Tea Tree Soothing Sun Cream 50mL,USD 33.00,4.5,0,1,0,1,1,0,1,0,0,1,1,0,1,https://global.oliveyoung.com/product/detail?prdtNo=GA230518770
MEDIHEAL Vitamide Brightening Sun Cream 50mL,USD 33.00,4,0,0,0,0,0,0,1,1,0,0,1,0,1,https://global.oliveyoung.com/product/detail?prdtNo=GA230518769
MISSHA All Around Safe Block Aqua Sun 50mL SPF50+/PA++++,USD 15.00,4.7,1,0,0,1,0,0,1,0,1,0,1,0,1,https://global.oliveyoung.com/product/detail?prdtNo=GA230618879
MISSHA All Around Safe Block Essence Sun Milk EX 70mL SPF50+/PA+++,USD 25.00,4.5,1,1,0,2,0,1,0,0,1,0,1,0,1,https://global.oliveyoung.com/product/detail?prdtNo=GA230618880
MISSHA All Around Safe Block Soft Finish Sun Milk 70mL SPF50+/PA+++,USD 25.00,4.5,0,1,0,1,0,1,0,0,0,1,1,0,1,https://global.oliveyoung.com/product/detail?prdtNo=GA230618878
MISSHA All Around Safe Block Waterproof Sun Milk 70mL SPF50+/PA++++,USD 25.00,4.7,1,1,0,2,0,0,1,0,0,1,1,0,1,https://global.oliveyoung.com/product/detail?prdtNo=GA230618881
numbuzin No. 1 Clear Filter Sun Essence SPF50+ PA++++,USD 26.00,,0,1,0,1,0,0,1,0,1,0,1,0,1,https://global.oliveyoung.com/product/detail?prdtNo=GA230619383
numbuzin No. 3 Porcelain Base-skip Tone Up Beige 50mL SPF50+ PA++++,USD 26.00,4.4,0,1,1,2,0,0,1,1,0,0,1,0,1,https://global.oliveyoung.com/product/detail?prdtNo=GA220313849
O HUI Day Shield Aqua Sun Stick To Go 14g,USD 42.00,5,1,0,1,2,0,0,1,0,1,0,1,0,1,https://global.oliveyoung.com/product/detail?prdtNo=GA230719616
O HUI Miracle Toning Daily Sun 50mL,USD 37.00,,0,1,0,1,0,0,1,0,1,0,1,0,1,https://global.oliveyoung.com/product/detail?prdtNo=GA230619405
primera Repairing Cera-Capsule UV Protector 40mL,USD 40.00,,1,0,0,1,0,0,1,0,1,0,1,0,1,https://global.oliveyoung.com/product/detail?prdtNo=GA240121639
primera Repairing Cera-Capsule UV Protector 40mL Special set (+Peeling To Foam Cleanser 30mL),USD 40.00,5,1,0,0,1,0,0,1,0,1,0,1,0,1,https://global.oliveyoung.com/product/detail?prdtNo=GA240121638
ROUND LAB BIRCH JUICE MILD-UP SUNSCREEN 50ml Special Set (Special Gift: Cleanser 20mL),USD 33.00,4.4,1,1,0,2,1,0,1,1,0,0,1,0,1,https://global.oliveyoung.com/product/detail?prdtNo=GA220313898
ROUND LAB Birch Juice Moisturizing Sun Cushion 15g,USD 32.00,4.3,1,1,0,2,0,0,1,1,0,0,1,0,1,https://global.oliveyoung.com/product/detail?prdtNo=GA220213759
ROUND LAB Birch Juice Moisturizing Sun Stick 19g,USD 24.00,4.8,1,0,0,1,0,0,1,0,1,0,1,0,1,https://global.oliveyoung.com/product/detail?prdtNo=GA230418385
ROUND LAB BIRCH JUICE MOISTURIZING SUNSCREEN 50ml Special Set,USD 36.00,4.9,1,1,0,2,1,0,1,0,1,0,1,0,1,https://global.oliveyoung.com/product/detail?prdtNo=GA210004685
ROUND LAB BIRCH JUICE MOISTURIZING TONE-UP SUNSCREEN 50ml Special Set (+Cleanser 20mL),USD 28.00,4.6,1,1,0,2,0,0,1,0,0,1,1,0,1,https://global.oliveyoung.com/product/detail?prdtNo=GA230317989
Scinic Enjoy All Round Airy Sun Cushion EX 25g,USD 29.00,4.6,1,1,0,2,0,0,1,1,0,0,1,0,1,https://global.oliveyoung.com/product/detail?prdtNo=GA230820235
Scinic Enjoy Foundation Skip Tone Up Sun Cream 50g 1+1 Special Set,USD 24.00,4.3,1,0,0,1,0,0,1,0,0,1,1,0,1,https://global.oliveyoung.com/product/detail?prdtNo=GA230418193
Scinic Enjoy Super Mild Sun Essence Special Set,USD 20.00,4.8,1,0,0,1,0,0,1,0,1,0,1,0,1,https://global.oliveyoung.com/product/detail?prdtNo=GA210003127
shaishaishai Positive Sun Tanning Watery Cream SPF22 150mL,USD 37.00,,0,0,0,0,0,0,0,0,1,0,1,0,0,https://global.oliveyoung.com/product/detail?prdtNo=GA230619399
Shingmulnara Jeju Aloe Moisture Soothing Gel 200mL,USD 8.00,,0,0,0,0,0,0,0,0,0,0,0,0,0,https://global.oliveyoung.com/product/detail?prdtNo=GA240121622
Shingmulnara Jeju Aloe Moisture Soothing Gel Double Set 200mL*2ea,USD 13.00,,0,0,0,0,0,0,0,0,0,0,0,0,0,https://global.oliveyoung.com/product/detail?prdtNo=GA240121623
Shingmulnara Oxygen Water Face & Body Sun Cushion SPF50+PA++++ Refill Special Set (Extra puff gift),USD 33.00,4.3,0,0,0,0,1,0,1,1,0,0,1,0,1,https://global.oliveyoung.com/product/detail?prdtNo=GA230619009
Singmulnara Oxygen Water Face & Body Suncream Double Pack SPF50+ PA++++ (150mL+Gel 1mL*5ea),USD 26.00,,0,0,0,0,1,0,1,1,0,0,1,0,1,https://global.oliveyoung.com/product/detail?prdtNo=GA230317995
SKIN&LAB Barrierderm Think Family Sunscreen 70mL,USD 46.00,,0,0,0,0,1,1,0,1,0,0,1,1,0,https://global.oliveyoung.com/product/detail?prdtNo=GA230619400
SKIN1004 Madagascar Centella Air-Fit Sun Cream Light 50mL,USD 18.00,4.6,0,0,0,0,1,0,1,1,0,0,1,1,0,https://global.oliveyoung.com/product/detail?prdtNo=GA220715345
SKIN1004 Madagascar Centella Hyalu-Cica Silky-Fit Sun Stick 20g,USD 20.00,4.8,0,1,0,1,0,0,1,0,1,0,1,0,1,https://global.oliveyoung.com/product/detail?prdtNo=GA230920257
SKIN1004 Madagascar Centella Hyalu-Cica Sunsational Kit,USD 25.00,4.6,0,0,0,0,0,0,0,0,0,0,0,0,0,https://global.oliveyoung.com/product/detail?prdtNo=GA231121244
SKIN1004 Madagascar Centella Hyalu-Cica Water-Fit Sun Serum 50mL,USD 20.00,4.8,1,1,0,2,0,0,1,0,1,0,1,0,1,https://global.oliveyoung.com/product/detail?prdtNo=GA220715346
SKIN1004 Madagascar Centella Hyalu-Cica Water-Fit Sun SerumÂ 50mL*2ea (Twin pack),USD 28.00,4.8,1,1,0,2,0,0,1,0,1,0,1,0,1,https://global.oliveyoung.com/product/detail?prdtNo=GA230518746
SKIN1004 Madagascar Centella Tone Brightening Tone-Up Sunscreen 50mL,USD 20.00,4.4,0,0,0,0,0,0,1,0,0,1,1,0,1,https://global.oliveyoung.com/product/detail?prdtNo=GA220715347
SOME BY MI V10 Hyal Antioxidant Sunscreen 40mL,USD 24.00,,0,0,0,0,0,0,0,0,0,,0,0,0,https://global.oliveyoung.com/product/detail?prdtNo=GA240121857
SOME BY MI V10 Hyal Hydra Capsule Sunscreen 40mL,USD 24.00,,0,0,0,0,0,0,0,0,0,0,0,0,0,https://global.oliveyoung.com/product/detail?prdtNo=GA240121856
TOCOBO Bio Watery Sun Cream 50mL,USD 32.00,4.7,1,1,0,2,0,0,1,0,1,0,1,0,1,https://global.oliveyoung.com/product/detail?prdtNo=GA230117396
TOCOBO Vita Tone Up Sun Cream 50mL,USD 33.00,4.8,1,0,0,1,0,0,1,0,0,1,1,0,1,https://global.oliveyoung.com/product/detail?prdtNo=GA230518862
Torriden Dive In Watery Moisture Sun Cream Special Set (+Cleansing Foam 30mL),USD 33.00,4.4,1,0,0,1,0,0,1,0,1,0,1,0,1,https://global.oliveyoung.com/product/detail?prdtNo=GA230518785
Torriden Dive-in Watery Moisture Sun Cream 60mL,USD 33.00,5,1,0,0,1,1,0,1,0,1,0,1,0,1,https://global.oliveyoung.com/product/detail?prdtNo=GA230518561